popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,id_new,time_signature
68.0,0.826,0.704,9.0,-7.527,1.0,0.117,0.189,4.8e-05,0.0617,0.741,94.013,205000.0,1,
61.0,0.641,0.693,8.0,-7.327,1.0,0.163,0.0169,0.0,0.219,0.899,214.058,184413.0,2,
67.0,0.771,0.815,1.0,-5.423,0.0,0.0719,0.161,2.01e-05,0.189,0.524,94.016,205520.0,3,
63.0,0.743,0.787,1.0,-5.402,1.0,0.262,0.0352,0.0,0.0732,0.719,192.117,172680.0,4,
63.0,0.876,0.692,10.0,-6.429,1.0,0.104,0.128,0.0,0.249,0.757,95.032,227280.0,5,
67.0,0.675,0.921,4.0,-6.083,1.0,0.0365,0.0466,0.00618,0.117,0.7,97.01,252493.0,6,
72.0,0.816,0.747,8.0,-6.468,0.0,0.0411,0.102,0.0,0.263,0.848,97.019,210933.0,7,
59.0,0.705,0.533,11.0,-11.974,0.0,0.272,0.0956,0.0,0.292,0.537,94.022,210103.0,8,
50.0,0.847,0.724,1.0,-7.267,1.0,0.052,0.0152,0.0125,0.113,0.691,102.106,244773.0,9,
66.0,0.783,0.824,0.0,-4.973,1.0,0.123,0.214,0.0,0.102,0.726,93.998,187080.0,10,
73.0,0.732,0.708,9.0,-7.905,0.0,0.262,0.534,0.0,0.237,0.717,175.924,267787.0,11,
59.0,0.787,0.679,9.0,-4.913,1.0,0.0658,0.416,0.0,0.15,0.875,89.988,240200.0,12,
73.0,0.829,0.878,9.0,-5.951,1.0,0.101,0.0959,0.0,0.776,0.883,87.991,239307.0,13,
63.0,0.808,0.682,2.0,-7.128,1.0,0.0963,0.171,1.42e-06,0.464,0.491,89.987,235627.0,14,
64.0,0.825,0.852,6.0,-6.471,0.0,0.0789,0.0282,0.000264,0.13,0.813,95.028,214354.0,15,
65.0,0.828,0.666,9.0,-7.454,1.0,0.152,0.457,0.0,0.0834,0.44,91.961,212533.0,16,
