target,0,1,2,3,4,5,6
1,0.3348533624410597,0.826,0.704,0.117,0.189,0.741,1.0
1,1.0,0.641,0.693,0.163,0.0169,0.899,2.0
1,0.33486998487358643,0.771,0.815,0.0719,0.161,0.524,3.0
1,0.8784290693100028,0.743,0.787,0.262,0.0352,0.719,4.0
1,0.34049944868932114,0.876,0.692,0.104,0.128,0.757,5.0
1,0.3514591725353089,0.675,0.921,0.0365,0.0466,0.7,6.0
1,0.35150903983288917,0.816,0.747,0.0411,0.102,0.848,7.0
1,0.33490322973863995,0.705,0.533,0.272,0.0956,0.537,8.0
1,0.3796951445874589,0.847,0.724,0.052,0.0152,0.691,9.0
1,0.3347702502784258,0.783,0.824,0.123,0.214,0.726,10.0
1,0.7887067193413084,0.732,0.708,0.262,0.534,0.717,11.0
1,0.3125515988009685,0.787,0.679,0.0658,0.416,0.875,12.0
1,0.301486599548978,0.829,0.878,0.101,0.0959,0.883,13.0
1,0.31254605799012625,0.808,0.682,0.0963,0.171,0.491,14.0
1,0.34047728544595224,0.825,0.852,0.0789,0.0282,0.813,15.0
1,0.3234836185927449,0.828,0.666,0.152,0.457,0.44,16.0
1,0.3404551222025831,0.804,0.745,0.0744,0.112,0.512,17.0
1,0.3459239025038924,0.677,0.946,0.0553,0.185,0.948,18.0
1,0.32912970484100645,0.775,0.744,0.0916,0.0567,0.581,19.0
1,0.3236720061613817,0.815,0.856,0.122,0.4,0.872,20.0
1,0.3348145767651638,0.852,0.66,0.224,0.277,0.517,21.0
1,0.3403609284182647,0.798,0.814,0.0542,0.101,0.524,22.0
1,0.3346206483856847,0.815,0.768,0.171,0.217,0.667,23.0
1,0.34591282088220787,0.857,0.801,0.0618,0.332,0.753,24.0
1,0.3016971503609838,0.681,0.802,0.175,0.266,0.765,25.0
1,0.3403166019315266,0.738,0.85,0.0403,0.0775,0.678,26.0
1,0.29537508518996675,0.503,0.9,0.308,0.329,0.744,27.0
1,0.34573551493525567,0.784,0.793,0.123,0.112,0.638,28.0
1,0.45671795610569654,0.847,0.873,0.0804,0.0558,0.966,29.0
1,0.3511156422630888,0.843,0.797,0.0894,0.0833,0.697,30.0
1,0.31281755772139697,0.738,0.875,0.109,0.236,0.91,31.0
1,0.3402556530122618,0.801,0.773,0.0896,0.563,0.796,32.0
1,0.3350140459554851,0.629,0.893,0.275,0.181,0.86,33.0
1,0.40821369799256424,0.753,0.628,0.071,0.0466,0.691,34.0
1,0.534682705467118,0.701,0.914,0.0851,0.0817,0.886,35.0
1,0.7691144122030819,0.788,0.833,0.287,0.0134,0.356,36.0
1,0.34065459139290444,0.808,0.697,0.241,0.041,0.554,37.0
1,0.3403775508507916,0.924,0.782,0.0816,0.246,0.745,38.0
1,0.34042741814837185,0.84,0.837,0.155,0.322,0.728,39.0
1,0.33473700541337226,0.86,0.699,0.0974,0.0827,0.871,40.0
1,0.4791526992060018,0.944,0.874,0.175,0.316,0.836,41.0
1,0.34027227544478855,0.796,0.866,0.0595,0.096,0.877,42.0
1,0.4042741814837183,0.763,0.597,0.219,0.00268,0.772,43.0
1,0.3292460618686939,0.744,0.921,0.0889,0.172,0.718,44.0
1,0.3290853783542683,0.751,0.881,0.253,0.0315,0.694,45.0
1,0.34032214274236894,0.841,0.808,0.0749,0.0711,0.66,46.0
1,0.4122474082857285,0.84,0.926,0.108,0.0762,0.567,47.0
1,0.42303536699560607,0.791,0.692,0.137,0.149,0.716,48.0
1,0.40693931149884477,0.883,0.626,0.0853,0.0648,0.565,49.0
1,0.3237329550806465,0.709,0.726,0.0411,0.0977,0.404,50.0
1,0.32379390399991137,0.696,0.722,0.0472,0.114,0.464,51.0
1,0.3236830877830662,0.793,0.823,0.0681,0.169,0.616,52.0
